Before,target_letter,After,Instruction
يوم نَطْوِي السَّمَاءَ , قَ,طَيِّ السِّجِلِّ لِلْكُتُبِ ,إستبدال كَ / قَ
وَأَعْرِضْ عَنِ ا,ل,جَاهِلِينَ,حذف اللام
وَإِذْ جَعَ,ل,نَا الْبَيْتَ مَثَابَةً لِّلنَّاسِ وَأَمْنًا,حذف اللام
لَأَكَلُواْ مِن فَوْقِهِ,م, وَمِن تَحْتِ أَرْجُلِهِم,حذف الميم
قَالَا رَبَّنَا إِنَ, ّ,ا نَخَافُ أَنْ يَفْرُطَ عَلَيْنَا,ترك التشديد 
وَلَنْ تَسْتَطِيعُوا أَنْ تَعْدِلُوا بَيْنَ النِّسَاءِ وَلَوْ حَرَ,س,تُمْ , إستبدال س / ص
وَمَنْ أَ,ز,دَقُ مِنَ اللَّهِ حَدِيثًا,إستبدال د / ز
صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا ال,ظ,الِّينَ,إستبدال ض / ظ
فَمَنِ ا,ض,طُرَّ غَيْرَ بَاغٍ وَلَا عَادٍ فَلَا إِثْمَ عَلَيْهِ ۚ,حذف الضاد
وَقَاتِلُوا فِي سَبِيلِ اللَّهِ الَّذِينَ يُقَاتِلُونَكُمْ وَلَا تَ,ح,تَدُوا ۚ,إستبدال ع / ح
وَاسْمَ,ع, غَيْرَ مُسْمَع,حذف العين
 وَمَا كَانَ عَطَآءُ رَبِّكَ مَح,ذ,ورًا,إستبدال ظ / ز
وَ,ب,رَّۢا بِوَٰلِدَيۡهِ وَلَمۡ يَكُن جَبَّارًا عَصِيّٗا,
وَأُخْرَىٰ لَمْ ,ط,قْدِرُوا عَلَيْهَا قَدْ أَحَاطَ اللَّهُ بِهَا,إستبدال ت / ط
إِنَّمَا نَحْنُ فِ,سْ,نَةٌ فَلَا تَكْفُرْ,إستبدال ت / س
وَ,طً,ضْحَكُونَ وَلَا تَبْكُونَ,إستبدال ت / ط
لَوْلَا أَن ثَبَّتْنَاكَ لَقَدْ كِدتَّ ,تَ,رْكَنُ إِلَيْهِمْ شَيْئًا قَلِيلً,حذف التاء
وَجَدَهَا, طَ,طْلُعُ عَلَىٰ قَوْمٍ لَّمْ نَجْعَل,إستبدال ت / ط
وَأَعْ,دَ,دْنَا لِلْكَافِرِينَ عَذَابًا مُّهِينًا,
وَمِن شَرِّ النَّفَّا,فَ,اتِ فِي الْعُقَدِ,إستبدال ث / ف
وَاقْتُلُوهُمْ حَيْ,ثُ, ثَقِفْتُمُوهُمْ ,حذف الثاء
فَوَلِّ وَ,شْ,هَكَ شَطْرَ الْمَسْجِدِ الْحَرَامِ,إستبدال ج / ش
لِيَ,زِّ,يَ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ,
وَلَا جُنَا,عَ, عَلَيْكُمْ,إستبدال ع / ح
فَاصْفَ,ح, عَّنْهُمْ وَقُلْ سَلَامٌ,حذف الحاء
وَمِنَ اللَّيْلِ فَسَبِّ,حُّ,وَمِنَ اللَّيْلِ فَسَبِّ,
هَلْ مِنْ ,خَ,الِقٍ غَيْرُ اللَّهِ,
وَأَهْدِيَكَ إِلَىٰ رَبِّكَ فَتَ,غْ,شَىٰ,إستبدال غ / خ
مِّنَ الْأَنبَاءِ مَا فِيهِ مُزْ,تَ,جَرٌ,إستبدال د / ت
وَلَا أَقُولُ لِلَّذِينَ تَزْ,تَ,رِي أَعْيُنُكُمْ,إستبدال د / ت
فَهَلْ مِن مُّ,تَّ,كِرٍ,إستبدال د / ت
وَوَاعَ,نَّ,ا مُوسَىٰ ثَلَاثِينَ لَيْلَةً,
فَ,ظَ,اقَتْ وَبَالَ أَمْرِهَا,إستبدال ذ / ظ
قَالَ مَعَا,ظَ, اللَّهِ أَن نَّأْخُذَ,إستبدال د / ظ 
فَسَاءَ مَطَرُ الْمُن,ظَ,ظَرِينَ,
وَإِنِّي عُ,ذ,تُّ بِرَبِّي وَرَبِّكُمْ,حذف الذال
الرَّ,رر,حْمَٰنِ,الرَّ
مَا يُوحَىٰ إِلَيَّ مِن رَّ,رر,بِّي,
وَ,ظُ,خْرُفًا ۚ وَإِن كُلُّ ذَٰلِكَ,
عِندَهَا رِ,سْ,قًا قَالَ,إستبدال ز / س
فَأَ,ر,سِلْ مَعِيَ بَنِي إِسْرَائِيلَ,
هَلْ مِنْ ,خَ,الِقٍ غَيْرُ اللَّهِ,Repeated
وَآتُوا حَقَّهُ يَوْمَ ,حَ,صَادِهِ,
يَ,حْ,شَى النَّاسَ هَذَا عَذَابٌ أَلِيمٌ,إستبدال خ / ح
وَحَ,فَ,نَاهُمَا بِنَخْلٍ وَجَعَلْنَا بَيْنَهُمَا زَرْعًا,
وَقَالُوا۟ مَا لِهَٰذَا الرَّسُولِ يَأْكُلُ الطَّعَامَ وَيَمْشِي فِي الْأَسْوَا,كِ,,
فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْ,زِ,دِ الْحَرَامِ,إستبدال ج / ز
أَفَآمِنُوا۟ مَكْرَ اللَّٰهِۚ فَلَا يَأْمَنُ مَكْرَ اللَّٰهِ إِلَّا الْقَوْمُ الْخَا,صِ,رُونَ,إستبدال س / ص
لَا إِكْرَاهَ فِي الدِّينِ ۚ قَدْ تَبَيَّنَ الرُّ,ج,دُ مِنَ الْغَيِّ,إستبدال ش / ج
وَلِكُلٍ ,del,جْهَةٌ هُوَ مُوَلِّيَهَا فَاسْتَبِقُوا الْخَيْرَاتِ,
وَكَأَيِّن مِّن نَّبِيٍّ قَاتَلَ مَعَهُ رِبِّ,يُ,ونَ كَثِيرٌ,