Before,target_letter,After
يوم نَطْوِي السَّمَاءَ , قَ,طَيِّ السِّجِلِّ لِلْكُتُبِ 
وَأَعْرِضْ عَنِ ا,Del,جَاهِلِينَ
وَإِذْ جَعَ,Del,نَا الْبَيْتَ مَثَابَةً لِّلنَّاسِ وَأَمْنًا
لَأَكَلُواْ مِن فَوْقِهِ,Del, وَمِن تَحْتِ أَرْجُلِهِم
قَالَا رَبَّنَا إِنَ,Del,ا نَخَافُ أَنْ يَفْرُطَ عَلَيْنَا
وَلَنْ تَسْتَطِيعُوا أَنْ تَعْدِلُوا بَيْنَ النِّسَاءِ وَلَوْ حَرَ,س,تُمْ 
وَمَنْ أَ,ز,دَقُ مِنَ اللَّهِ حَدِيثًا
صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا ال,ظ,الِّينَ
فَمَنِ ا,del,طُرَّ غَيْرَ بَاغٍ وَلَا عَادٍ فَلَا إِثْمَ عَلَيْهِ ۚ
وَقَاتِلُوا فِي سَبِيلِ اللَّهِ الَّذِينَ يُقَاتِلُونَكُمْ وَلَا تَ,ح,تَدُوا ۚ
وَاسْمَ,del, غَيْرَ مُسْمَع
 وَمَا كَانَ عَطَآءُ رَبِّكَ مَح,ذ,ورًا
وَ,ب,رَّۢا بِوَٰلِدَيۡهِ وَلَمۡ يَكُن جَبَّارًا عَصِيّٗا
وَأُخْرَىٰ لَمْ ,ط,قْدِرُوا عَلَيْهَا قَدْ أَحَاطَ اللَّهُ بِهَا
إِنَّمَا نَحْنُ فِ,سْ,نَةٌ فَلَا تَكْفُرْ
وَ,طً,ضْحَكُونَ وَلَا تَبْكُونَ
لَوْلَا أَن ثَبَّتْنَاكَ لَقَدْ كِدتَّ ,del,رْكَنُ إِلَيْهِمْ شَيْئًا قَلِيلً
وَجَدَهَا, طَ,طْلُعُ عَلَىٰ قَوْمٍ لَّمْ نَجْعَل
وَأَعْ,دَ,دْنَا لِلْكَافِرِينَ عَذَابًا مُّهِينًا
وَمِن شَرِّ النَّفَّا,فَ,اتِ فِي الْعُقَدِ
وَاقْتُلُوهُمْ حَيْ,del, ثَقِفْتُمُوهُمْ 
فَوَلِّ وَ,شْ,هَكَ شَطْرَ الْمَسْجِدِ الْحَرَامِ
لِيَ,زِّ,يَ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ
وَلَا جُنَا,عَ, عَلَيْكُمْ
فَاصْفَ,del, عَّنْهُمْ وَقُلْ سَلَامٌ
وَمِنَ اللَّيْلِ فَسَبِّ,حُّ,وَمِنَ اللَّيْلِ فَسَبِّ
هَلْ مِنْ ,خَ,الِقٍ غَيْرُ اللَّهِ
وَأَهْدِيَكَ إِلَىٰ رَبِّكَ فَتَ,غْ,شَىٰ
مِّنَ الْأَنبَاءِ مَا فِيهِ مُزْ,تَ,جَرٌ
وَلَا أَقُولُ لِلَّذِينَ تَزْ,تَ,رِي أَعْيُنُكُمْ
فَهَلْ مِن مُّ,تَّ,كِرٍ
وَوَاعَ,نَّ,ا مُوسَىٰ ثَلَاثِينَ لَيْلَةً
فَ,ظَ,اقَتْ وَبَالَ أَمْرِهَا
قَالَ مَعَا,ظَ, اللَّهِ أَن نَّأْخُذَ
فَسَاءَ مَطَرُ الْمُن,ظَ,ظَرِينَ
وَإِنِّي عُ,del,تُّ بِرَبِّي وَرَبِّكُمْ
الرَّ,رر,حْمَٰنِ,الرَّ,رر,حِيمِ
مَا يُوحَىٰ إِلَيَّ مِن رَّ,رر,بِّي
وَ,ظُ,خْرُفًا ۚ وَإِن كُلُّ ذَٰلِكَ
عِندَهَا رِ,سْ,قًا قَالَ
فَأَ,ر,سِلْ مَعِيَ بَنِي إِسْرَائِيلَ
هَلْ مِنْ ,خَ,الِقٍ غَيْرُ اللَّهِ
وَآتُوا حَقَّهُ يَوْمَ ,حَ,صَادِهِ
يَ,حْ,شَى النَّاسَ هَذَا عَذَابٌ أَلِيمٌ
وَحَ,فَ,نَاهُمَا بِنَخْلٍ وَجَعَلْنَا بَيْنَهُمَا زَرْعًا
وَقَالُوا۟ مَا لِهَٰذَا الرَّسُولِ يَأْكُلُ الطَّعَامَ وَيَمْشِي فِي الْأَسْوَا,كِ,
فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْ,زِ,دِ الْحَرَامِ
أَفَآمِنُوا۟ مَكْرَ اللَّٰهِۚ فَلَا يَأْمَنُ مَكْرَ اللَّٰهِ إِلَّا الْقَوْمُ الْخَا,صِ,رُونَ
لَا إِكْرَاهَ فِي الدِّينِ ۚ قَدْ تَبَيَّنَ الرُّ,ج,دُ مِنَ الْغَيِّ
وَلِكُلٍ ,del,جْهَةٌ هُوَ مُوَلِّيَهَا فَاسْتَبِقُوا الْخَيْرَاتِ
وَكَأَيِّن مِّن نَّبِيٍّ قَاتَلَ مَعَهُ رِبِّ,يُ,ونَ كَثِيرٌ